
 Sweep settings: Start voltage: 20 V, end voltage:  23 V, sweep points: 300, current limit: 0.015 A
 U/V, I/A, R/Ohm
+2.230000E+01,+2.165853E-06,+9.910000E+37
+2.230000E+01,+2.141364E-06,+9.910000E+37
+2.230000E+01,+2.150314E-06,+9.910000E+37
+2.230000E+01,+2.134779E-06,+9.910000E+37
+2.230000E+01,+2.118983E-06,+9.910000E+37
+2.235000E+01,+2.331196E-06,+9.910000E+37
+2.235000E+01,+2.313960E-06,+9.910000E+37
+2.235000E+01,+2.277737E-06,+9.910000E+37
+2.235000E+01,+2.344844E-06,+9.910000E+37
+2.235000E+01,+2.317509E-06,+9.910000E+37
+2.240000E+01,+2.392035E-06,+9.910000E+37
+2.240000E+01,+2.452897E-06,+9.910000E+37
+2.240000E+01,+2.433853E-06,+9.910000E+37
+2.240000E+01,+2.408703E-06,+9.910000E+37
+2.240000E+01,+2.444162E-06,+9.910000E+37
+2.245000E+01,+2.605047E-06,+9.910000E+37
+2.245000E+01,+2.619288E-06,+9.910000E+37
+2.245000E+01,+2.627575E-06,+9.910000E+37
+2.245000E+01,+2.607655E-06,+9.910000E+37
+2.245000E+01,+2.626801E-06,+9.910000E+37
+2.250000E+01,+2.803529E-06,+9.910000E+37
+2.250000E+01,+2.786653E-06,+9.910000E+37
+2.250000E+01,+2.839414E-06,+9.910000E+37
+2.250000E+01,+2.805414E-06,+9.910000E+37
+2.250000E+01,+2.781676E-06,+9.910000E+37
+2.255000E+01,+3.030419E-06,+9.910000E+37
+2.255000E+01,+3.018181E-06,+9.910000E+37
+2.255000E+01,+2.981435E-06,+9.910000E+37
+2.255000E+01,+3.028883E-06,+9.910000E+37
+2.255000E+01,+3.013864E-06,+9.910000E+37
+2.260000E+01,+3.153964E-06,+9.910000E+37
+2.260000E+01,+3.144609E-06,+9.910000E+37
+2.260000E+01,+3.124139E-06,+9.910000E+37
+2.260000E+01,+3.177168E-06,+9.910000E+37
+2.260000E+01,+3.140465E-06,+9.910000E+37
